microcystin,x16s,mcy_a_m,doc_ppm,ortho_p_mg_p_l,tkn_mg_n_l,cl_mg_cl_l,p_h,tp,mcya_16s,HAB_next_week
0.142,13544367.78,177326.5296,6.652,0.009,0.774,22.054,8.35,0.304,0.013092271,0
0.15,10474675.97,761645.558,7.585,0.07,1.383,23.226,8.1,0.251,0.072713042,0
1.235,3033694.176,363738.5829,6.295,-0.009,0.833,23.057,8.2,0.071,0.119899555,0
0.243,521377.574,0,5.141,0.019,0.608,22.736,8.3,0.059,0,0
0.587,1502384.969,0,2.337,0.006,0.494,25.578,8.3,-0.496,0,0
0.305,2123414.826,0,4.55,0.021,0.271,11.351,8.02,0.231,0,0
0,1871300.003,0,4.264,0.076,0.471,10.966,8.21,0.026,0,0
0.065,534410.0579,0,4.911,0.005,1.41,11.644,8.41,0.072,0,0
2.442,5249318.514,0,5.032,0.043,1.011,11.982,7.92,0.02,0,0
0.282,9291648.618,0,4.85,0.283,1.562,12.478,8.32,0.582,0,0
0.5,1258385.339,0,5.985,0.19,2.699,12.075,8.5,0.498,0,1
14.75,6792165.564,810610.6995,6.5,0.029,2.658,12.592,9.12,0.242,0.119344956,0
0,1318050.643,0,5.802,0.006,2.316,12.27,8.19,0.346,0,0
0.14,2552206.762,53758.57668,4.201,0.021,2.773,14.526,8.19,-0.256,0.021063566,1
0.605,1702953.888,126765.1436,7.805,0.009,0.338,6.751,9.05,0.133,0.074438389,0
0.085,278948.9063,25928.53105,7.07,0.042,0.425,6.768,9.68,0.094,0.092950825,0
0.6,1706779.751,51651.40133,8.283,0.063,0.856,6.961,8.9,0.126,0.030262488,0
0.165,7330689.882,0,3.009,0.013,0.574,17.122,8.28,0.203,0,0
0.072,20584751.59,0,2.463,0.008,0.427,15.675,8.66,0.06,0,0
0,26084855.59,0,2.842,0.033,0.216,17.162,8.33,0.173,0,0
0.04,5166165.168,0,2.16272,0.018,-0.1,17.524,8.14,0.327,0,0
0,9275713.057,0,2.14304,0.035,0.438,17.056,7.94,0.2,0,0
0.325,2314562.845,0,7.446,0.285,1.127,9.853,7.5,0.698,0,0
0.09,13871910.9,0,1.744,0.03,-0.016,14.996,8.08,0.591,0,0
0,2844838.978,0,2.233,0.02,0.625,15.179,8.17,0.299,0,0
0.375,4559846.987,0,2.359,0.044,0.107,14.785,8.05,0.455,0,0
0.112,8824172.163,0,1.73,0.003,0.975,14.5,7.74,0.254,0,0
0.357,5090541.331,0,2.253025524,0.009,0.424,14.148,8.31,0.246,0,0
0.24,2768779.043,0,9.334,0.022,0.726,13.76,8.13,0.359,0,0
0.322,1877167.546,0,1.658,0.005,0.932,13.369,7.96,0.326,0,0
0.293,2213666.028,0,2.03327,0.002,0.911,13.095,8.28,0.208,0,0
0.13,39500757.67,0,4.529,0.077,0.643,15.363,8.02,0.333,0,0
0.165,12266782.58,0,5.867,0.223,1.025,15.848,8.11,0.638,0,0
0,4107529.267,0,2.943,0.066,0.45,16.973,8.08,0.267,0,0
0.073,4975540.214,0,3.09584,0.015,1.088,14.145,8.14,0.278,0,0
0,3093029.204,0,2.82048,0.004,0.057,14.712,8.2,0.171,0,0
0.172,4043791.6,0,4.789,0.195,0.818,11.517,7.48,0.537,0,0
0,9329844.454,0,3.819,0.08,0.984,13.022,7.87,0.349,0,0
0.493,1248356.098,5095.860616,3.349,0.005,1.295,13.114,7.89,0.154,0.004082057,0
0.773,13373685.66,32030.37916,4.056,0.011,0.999,14.025,8.01,0.376,0.00239503,0
0.227,2606222.229,44411.58875,3.933,0.009,1.464,12.864,8.2,0.292,0.017040599,0
0.015,2488027.073,139743.7724,3.96255046,0.015,1.906,13.594,NA,0.503,0.0561665,0
0.55,3254939.276,122604.3398,3.612,0.021,1.883,13.203,8.11,0.316,0.037667167,0
0.327,2560434.776,372508.2505,4.538,0.042,1.633,13.732,8.22,0.401,0.145486327,0
0.688,1546123.706,18328.56507,4.076,0.112,2.274,12.845,8.51,0.509,0.011854527,0
5.722,2690249.056,298237.3815,2.061,0.289,1.87,12.001,8.5,0.868,0.110858651,0
0.075,5880570.919,0,3.427,0.021,1.069,21.765,8.27,0.068,0,0
0.045,14852953.72,0,3.595,0.021,1.069,22.245,8.27,0.096,0,0
0,6656738.866,0,3.242,0.048,0.93,22.539,8.27,0.178,0,0
0.087,3991132.453,0,3.21536,0.003,1.101,22.113,8.3,0.289,0,0
0,3859680.535,0,3.4366,0.003,0.611,21.807,8.3,0.165,0,0
0.295,7005453.601,0,3.41,0.001,0.599,22.365,8.2,0.16,0,0
0,2743689.106,0,3.053,0.002,0.894,22.432,8.46,0.126,0,0
0.12,6487440.689,143359.4076,2.964,0.002,0.683,21.903,8.4,0.112,0.022097991,0
0.57,4741659.156,0,2.843,0.001,0.704,22.24,8.31,0.308,0,0
0,12563573.51,0,3.188,0.004,0.888,22.389,8.4,0.297,0,0
0,2918236.176,0,3.21421756,0.008,1.312,22.903,8.71,0.422,0,0
0.28,3901603.253,0,2.99,0.004,1.363,23.735,NA,0.171,0,0
0.085,1546009.748,85860.88414,2.767,0.005,1.368,24.834,8.33,0.226,0.055537091,0
0.213,4513695.417,0,2.686,0.009,1.504,22.654,8.66,0.15,0,0
0.638,3626053.419,0,2.704,0.008,1.236,23,8.91,0.133,0,0
0,9050933.664,0,3.411,0.005,0.482,16.636,8.2,0.004,0,0
0.213,7089813.512,0,3.925,0.002,0.592,15.072,8.15,0.043,0,0
0,1970650.576,0,2.943,0.033,-0.026,16.224,7.94,0.126,0,0
0.272,1980972.472,0,3.07712,0.007,0.457,16.076,8.27,0.259,0,0
0,1564107.251,0,3.30812,0.01,0.439,16.515,8.2,0.233,0,0
0.052,4802230.665,0,3.59,0.003,0.095,16.408,8.3,-0.088,0,0
0,1242421.396,0,3.212,0.002,0.336,14.89,8.33,0.271,0,0
0.29,4035214.817,0,3.271,0.002,0.649,15.045,8.15,0.177,0,0
1.053,14447079.25,0,3.376,0.001,0.776,16.051,8.36,0.147,0,0
0,5709767.435,0,3.668,0.004,0.272,3.748,8.1,0.155,0,0
0,2064289.844,3584441.008,3.470313708,0.005,1.152,17.296,8.31,0.224,1.736403935,0
0.228,8183314.796,1980573.341,5.954,0.009,1.988,16.904,8.56,0.279,0.242025804,0
0.115,2247145.06,570061.7392,4.002,0.004,1.366,17.949,8.51,0.114,0.253682661,0
0.395,4553775.452,0,3.163,0.01,1.203,16.211,8.8,0.163,0,0
0.278,1701740.361,0,5.12699,0.004,1.17,16.721,8.89,0.142,0,0
0.43,3365208.081,33526.05872,8.11,0.004,1.986,12.436,8.43,0.203,0.009962551,0
0.827,14332414.89,40573.42755,7.394,0.001,0.887,12.757,8.34,0.098,0.002830886,0
0.038,2978194.921,16194.66786,6.728,0.016,0.727,12.828,8.14,0.072,0.005437746,0
0.455,4207173.927,0,6.87584,0.002,1.227,12.354,8.31,0.232,0,0
0.658,2467258.145,21525.22266,6.78876,0.001,0.936,13.511,8.32,0.211,0.00872435,0
0.612,6752266.521,181666.5629,6.943,0.004,0.856,12.163,8.52,0.173,0.026904531,0
0.485,1869888.919,63697.43038,6.399,0.006,0.815,11.891,8.06,0.248,0.034064821,0
0.285,5331446.654,202103.2916,6.593,0.002,0.955,12.53,8.11,0.1,0.037907777,0
0.895,8352757.32,445810.7275,6.278,0,0.967,13.281,8.1,0.26,0.053372882,0
0.92,9481133.773,301083.9406,6.591,0.003,1.32,12.415,8.42,0.231,0.031756111,0
0.808,3372132.67,315445.7894,6.174622512,0.004,0.866,12.57,NA,0.347,0.093544893,0
0.68,21056168.38,987669.5223,4.287,0.003,1.094,12.944,8.48,0.238,0.046906422,0
0.91,3280359.254,446799.5898,6.043,0.005,1.006,13.083,8.41,0.227,0.136204469,0
0.697,1703452.558,105511.8728,4.751,0.006,1.179,13.109,8.54,0.12,0.061940013,0
1.368,1993515.646,139586.1113,4.33,0.003,1.074,11.861,8.71,0.082,0.070020073,0
0.19,8539917.371,0,6.207,0.001,0.547,14.188,8.42,-0.028,0,0
0.245,7369183.778,0,6.216,0.001,0.569,13.32,8.46,0.03,0,0
0,3241474.546,0,5.155,0.004,0.644,13.285,8.5,0.05,0,0
0.13,2903910.33,103109.9551,5.11616,0.002,0.794,13.609,8.62,0.3,0.035507279,0
0.15,3658940.314,14899.08832,5.68792,0.001,0.854,13.312,8.61,0.187,0.004071968,0
0.213,5848961.61,70136.99505,5.723,0.001,0.692,13.186,8.61,0.088,0.011991358,0
0.22,11728722.49,10477.55499,6.546,0.006,12.831,13.654,8.3,0.727,0.000893324,0
0.607,7804034.729,68280.83636,5.19,0.003,0.765,13.653,8.71,0.205,0.008749428,0
0.685,2634354.516,184965.1887,5.081,0.031,0.85,13.879,8.6,0.262,0.070212717,0
0.992,3216844.178,151530.3576,5.465,0.002,0.88,13.739,NA,0.24,0.047105284,0
0.885,3477619.188,105519.5837,5.391866299,0.009,0.729,13.084,8.25,0.299,0.030342478,0
1.288,3506102.981,44189.39496,5.383,0.003,1.144,13.509,8.6,0.292,0.012603564,0
2.325,1870040.202,0,5.003,0.006,0.857,15.064,NA,0.099,0,0
6.535,4101650.984,540067.5302,3.712,0.005,0.935,13.386,NA,0.238,0.131670767,0
4.472,2376391.254,222738.6953,3.924,0.003,1.674,14.842,8.25,0.124,0.093729808,0
0,9273979.006,0,5.711,0.01,1.346,20.692,8.35,0.038,0,0
0.12,8453125.902,107328.5099,2.161,0.003,1.571,21.891,8.45,0.125,0.012696902,0
0,10143998.35,0,4.869,0.002,1.071,22.843,8.62,0.067,0,0
2.878,4574559.041,96733.40817,5.53808,0.006,1.522,22.006,8.59,0.303,0.021145952,0
0.243,2832976.693,6767.502992,5.34,0.005,1.34,22.272,8.5,0.094,0.002388831,0
0.105,12453652.54,39940.29836,4.637,0.003,1.437,21.328,8.52,0.28,0.003207115,0
0.805,2262819.017,7283.374868,5.157,0.004,1.835,20.701,8.76,0.236,0.003218717,0
1.58,24555218.12,206556.0529,5.08,0.005,1.741,22.211,NA,0.283,0.008411901,0
0.07,6370613.769,0,5.404,0.002,1.949,8.62,8.51,0.299,0,0
0.01,15528770.76,0,5.363429649,0.008,1.786,23.952,8.59,0.311,0,0
0.363,6694682.677,0,4.898,0.005,1.769,23.641,8.65,0.209,0,0
0.185,3823190.525,0,5.47,0.001,1.79,25.856,8.59,0.25,0,0
0.412,2524517.442,0,4.535,0.004,1.904,23.584,9.93,0.192,0,0
0.095,10409928,0,6.474,0.005,0.507,22.859,8.49,0.001,0,0
0.01,6859269.707,0,5.742,0.01,0.547,23.133,8.47,0.059,0,0
0,3587838.551,0,5.41,0.003,1.337,23.51,8.77,0.142,0,0
0,3404171.734,0,5.43008,0.008,1.487,23.139,8.55,0.445,0,0
0,2036428.724,0,5.62806,0.009,0.559,23.226,8.72,0.175,0,0
0.295,5796662.43,0,5.695,0.007,1.684,23.038,8.57,0.511,0,0
0,1906858.569,0,5.336,0.002,0.676,22.999,8.3,0.249,0,0
0.213,7452217.346,0,5.065,0.007,0.813,22.638,8.59,0.176,0,0
0.382,11035829.79,0,5.624,0.003,0.801,22.879,8.4,0.17,0,0
0.345,4132592.164,0,5.146,0.002,0.736,14.189,NA,0.145,0,0
0.023,2284001.144,0,5.290425617,0.002,3.633,22.645,8.3,0.395,0,0
0.3,2540970.083,182129.8116,5.084,0.004,0.657,22.497,8.35,0.195,0.071677275,0
0.09,1623551.825,147949.4113,4.535,0.004,0.622,24.658,NA,0.112,0.091127003,0
0.4,2312831.327,20091.44088,4.09,0.006,0.74,22.961,NA,0.185,0.008686946,0
0.373,1960904.927,0,4.153,0.002,0.615,22.437,8.44,0.047,0,0
0.248,1942220.061,0,5.41568,0.001,1.036,47.227,8.68,0.311,0,0
0.255,2377087.206,0,5.37548,0.002,1.298,46.495,8.65,0.142,0,0
0.637,0,0,5.139,0.001,1.078,43.325,8.23,0.044,0,0
0,1797047.792,25781.69547,5.069,0.001,1.162,42.446,8.89,0.257,0.014346694,1
8.43,7644553.47,347249.9386,6.284,0.003,2.07,43.404,8.93,0.284,0.045424489,0
1.87,1653142.389,100198.8378,4.439,0.016,1.619,39.808,9.06,0.252,0.060611136,0
0.788,13590534.87,27232.54894,3.989,0.004,1.428,39.669,8.87,0.257,0.002003788,0
0.68,1540907.036,0,4.737823344,0.002,1.432,40.909,8.73,0.142,0,0
1.148,5928640.787,148113.4147,4.243,0.002,1.596,40.977,8.56,0.147,0.024982693,0
0.282,7357735.14,373975.5454,4.018,0,1.239,42.556,7.9,0.198,0.050827536,0
0.555,9314628.624,743295.1129,3.1,0.003,1.126,43.178,8.52,0.131,0.079798685,0
0.403,0,0,2.999,0.002,1.139,42.453,8.68,0.142,0,0
0.105,17827673.19,19925.30816,6.634,0.001,0.692,8.431,8.7,0.072,0.001117662,0
4.06,7164421.175,342673.2137,6.933,0.001,1.11,7.711,8.7,0.099,0.047829853,0
0.72,16747342.16,132632.4104,5.832,0.009,1.21,8.533,8.35,0.154,0.00791961,0
1.102,3340559.237,63151.58266,6.02336,0.006,1.599,8.343,8.78,0.238,0.018904494,0
0.913,5115320.374,123757.1005,6.42084,0.005,1.663,8.873,8.26,0.319,0.024193421,0
3.08,3902881.658,240516.3317,6.371,0.033,1.314,8.881,8.45,0.411,0.06162532,0
3.225,9000304.991,1044396.262,5.705,0.054,1.367,8.338,8.45,0.544,0.116040097,0
7.44,3112102.931,150668.8426,6.811,0.014,2.568,7.945,9.71,0.429,0.048413837,0
4.26,29816278.42,510443.7914,6.777,0.025,2.154,8.946,NA,0.416,0.017119635,0
3.133,5098688.604,575240.4324,6.781,0.017,1.911,16.176,8.83,0.506,0.112821252,0
3.83,4526253.743,0,6.118414397,0.127,2.144,9.703,NA,0.775,0,0
2.743,7995027.168,117661.1826,5.51,0.127,1.875,8.691,8.74,0.569,0.014716796,0
1.87,5413418.593,0,6.124,0.127,1.405,9.807,8.97,0.578,0,0
0.79,4087950.424,55131.14281,3.867,0.146,1.993,8.094,9.52,0.637,0.013486255,0
0.965,8159750.532,30984.54787,4.044,0.164,1.888,8.856,9.47,0.549,0.003797242,0
0.12,1990927.786,0,8.542,0.099,0.617,21.082,8.5,0.18,0,0
0.18,5736281.704,0,8.398,0.174,0.796,19.807,7.98,0.411,0,0
0,6627660.309,0,5.578,0.008,1.334,22.348,8.68,0.13,0,0
0.317,2225971.363,20447.81222,5.276,0.01,0.981,22.348,8.62,0.184,0.009186018,0
0,1543303.238,0,5.24408,0.002,0.708,22.581,8.63,0.231,0,0
0.177,1261520.805,0,6.132,0.043,0.599,22.225,8.43,0.199,0,0
0.043,4686315.984,0,5.105,0.002,0.529,22.3,8.3,0.113,0,0
0.407,3781385.864,4884.998361,4.976,0.004,2.979,22.644,8.59,0.435,0.001291854,0
0.462,6698696.569,27508.50212,5.328,0.003,0.575,22.603,8.2,0.111,0.004106545,0
0.32,1998381.54,0,4.875,0.003,0.732,22.377,NA,0.136,0,0
0.582,3741134.517,0,5.116313496,0.005,0.62,22.683,8.3,0.166,0,0
0.295,2729316.475,0,2.049,0.002,0.603,22.655,8.29,0.624,0,0
0.072,2324153.335,0,4.811,0.002,0.523,23.961,NA,0.09,0,0
0.428,976847.3581,16770.42492,4.176,0.004,0.751,22.887,NA,0.128,0.017167907,0
0.257,1840475.369,0,3.954,0.002,0.568,21.999,8.2,0.203,0,0
2.617,1517106.308,0,7.247,0.019,0.757,9.518,7.9,0.087,0,0
5.293,7761943.502,37111.59301,6.119,0.018,0.897,9.076,8.03,0.129,0.004781224,0
2.102,3002227.609,67117.88815,5.949,0.026,0.9,9.649,8.06,0.173,0.022356029,0
2.655,5735041.881,0,5.62592,0.003,0.954,9.468,8.58,1.087,0,0
1.098,1739712.824,6114.825103,5.90546,0.016,0.706,10.011,NA,0.214,0.003514847,0
7.275,4388493.245,34998.49877,5.741,0.009,0.889,9.493,8.43,0.192,0.00797506,0
0.88,3192049.249,24293.19608,5.727,0.006,0.853,9.33,8.61,0.189,0.007610533,0
0.155,9061991.812,304993.7115,6.067,0.003,1.64,9.932,9.25,0.29,0.033656366,0
0.71,3278074.691,437559.5368,6.234,0.001,1.189,10.153,9.15,0.249,0.133480649,0
3.425,20671092.83,641367.2699,5.285,0.004,1.48,10.152,9.01,0.247,0.031027255,0
0.33,5221624.413,583378.6778,6.092139597,0.005,1.667,9.782,8.85,0.268,0.1117236,0
0.145,0,0,4.724,0.003,0.929,9.624,8.33,0.167,0,0
0.407,3631574.71,64867.01372,6.191,0,1.241,10.408,NA,0.241,0.017861952,0
0,1554085.349,0,4.984,0.004,0.956,8.866,8.45,0.106,0,0
1.48,847558.9002,60342.23065,4.962,0.004,1.278,10.032,NA,0.246,0.071195324,0
0,1741364.322,0,8.307,0.002,0.543,2.017,7.98,0.186,0,0
0,2418922.484,0,7.3352,0.001,0.604,1.356,8.13,0.292,0,0
0.17,1354808.939,0,9.04738,0.004,0.7,2.173,8.29,0.209,0,0
0.175,1817512.113,0,9.331,0.003,0.954,2.206,8.38,0.165,0,0
0,4629967.598,0,7.864,0.001,0.636,1.873,8.26,0.103,0,0
0.135,4644391.132,0,8.966,0.005,0.816,1.775,7.96,0.119,0,0
0.765,8836172.918,0,8.123,0.001,0.702,2.188,7.87,0.182,0,0
0.082,4711695.845,0,5.822,0.005,0.615,1.964,8.57,0.129,0,0
0,2395227.893,0,7.690911264,0.002,0.527,1.544,8.25,0.261,0,0
0.242,2523382.327,0,7.479,0.003,0.561,1.68,7.92,0.167,0,0
0,3245606.431,122867.9079,4.417,0.002,0.518,2.364,8.23,0.096,0.037856687,0
0.413,3216102.217,0,6.657,0.003,0.506,1.447,8.16,0.135,0,0
0.2,1288490.099,0,6.317,0,0.51,3.268,NA,0.113,0,0
0,16283447.66,0,6.749,0,0.673,12.002,8.22,0.019,0,0
0.032,11321335.41,0,6.545,0.002,0.803,12.054,8.27,0.102,0,0
0,3843328.914,0,6.276,0.003,0.879,12.849,8.76,0.084,0,0
0.013,3782459.25,0,6.3416,0.004,0.964,11.511,8.19,0.317,0,0
0,1274799.599,0,6.18286,0.005,0.751,12.024,8.3,0.228,0,0
0.097,2637802.415,0,5.365,0.003,0.9,12.507,8.15,0.175,0,0
0,6660174.575,17622.77983,5.765,0.005,0.865,12.237,8.23,0.15,0.002645994,0
0.172,2687454.252,0,5.679,0.011,1,11.932,8.77,0.189,0,0
0.663,9112622.488,0,5.398,0.001,1.076,12.395,8.62,0.241,0,0
0.177,3530067.462,0,5.996,0.004,0.999,12.2,8.35,0.279,0,0
0.023,3003818.709,0,5.555335464,0.01,1.08,12.105,8.79,0.225,0,0
0.48,7525890.73,0,4.998,0.002,1.125,12.561,8.31,0.392,0,0
0.07,3834234.652,113697.2845,5.332,0.003,1.039,12.607,8.6,0.445,0.029653189,0
0.493,8005178.615,0,4.598,0.008,1.077,12.412,8.64,0.262,0,0
0.322,4076407.788,0,4.496,0.004,0.903,11.97,8.78,0.095,0,0
0.24,4813082.702,0,5.928,0,0.554,8.915,8.48,0.032,0,0
0.673,7832440.807,0,5.341,0.001,0.687,8.737,8.53,0.065,0,0
0,2483260.256,0,6.194,0.02,0.567,8.809,8.54,0.081,0,0
0.267,2841063.116,0,5.0456,0.002,0.681,8.87,8.48,0.22,0,0
0.06,3028504.235,0,5.19444,0.001,0.692,8.852,8.42,0.146,0,0
0.45,7361112.649,46015.18449,5.888,0.002,1.455,9.255,8.46,0.17,0.006251118,0
0.003,1544610.845,9588.943329,4.853,0.003,1.283,9.554,8.35,0.223,0.006207999,0
0.332,3922337.279,0,5.157,0.003,1.29,9.022,8.4,0.22,0,0
0.69,3131912.804,0,4.851,0,1.048,9.445,7.71,0.233,0,0
0.76,5147959.384,20127.68395,4.781,0.007,1.125,9.045,NA,0.186,0.003909837,0
1.142,1153001.042,0,4.710051879,0.004,1.042,8.956,8.29,0.294,0,0
1.005,4850019.026,0,4.021,0.006,1.007,10.255,NA,0.188,0,0
3.575,1745085.295,144503.7278,4.228,0,0.918,9.043,8.17,0.243,0.082806112,0
1.678,2511378.436,0,3.762,0.005,0.817,9.805,NA,0.086,0,0
0.013,8712467.628,27538.47328,7.829,0.099,1.416,18.416,7.71,0.26,0.003160812,0
0.133,3278311.918,7787.782526,7.284,0.089,1.373,17.628,7.78,0.26,0.002375547,0
0,3322878.981,28749.05813,6.877,0.084,1.303,17.009,7.85,0.251,0.008651852,0
0.047,3176999.503,26157.54155,7.364,0.017,1.665,15.976,8.91,0.243,0.008233411,0
0.63,1892272.174,56011.52636,7.8239,0.033,2.334,15.343,8.9,0.342,0.029600143,0
0.218,4436599.372,16034.57168,12.99,0.024,3.251,18.6,8.9,0.333,0.003614158,0
0.063,6188071.958,187692.9749,7.457,0.089,1.272,10.536,7.9,0.423,0.030331414,0
3.652,3787478.99,737524.3087,8.05,0.005,2.013,11.697,9.49,0.221,0.19472697,0
4.395,20814969.54,599411.0653,7.18,0.002,2.411,13.071,NA,0.321,0.028797115,0
2.695,17903452.47,774799.4907,7.729,0.004,2.145,12.578,9.64,0.45,0.043276541,0
3.057,3089033.795,0,7.538916537,0.117,1.735,12.158,9.81,0.699,0,0
2.235,3759457.76,0,7.025,0.177,1.738,13.947,NA,0.706,0,1
12.13,2843273.112,0,7.345,0.208,2.805,13.935,NA,0.837,0,0
6.967,7686568.429,481690.1557,5.537,0.215,2.155,12.617,9.62,0.76,0.062666476,1
10.948,6545314.755,347282.4908,5.503,0.206,2.239,13.943,NA,0.737,0.05305818,0
0.218,19331859.7,108178.1759,6.195,0.001,1.328,14.155,8.67,0.047,0.005595849,0
0.625,4895534.834,111896.5779,6.8,0.002,1.095,15.264,8.89,0.06,0.022856865,0
2.428,2964098,156264.2584,6.353,0.004,1.336,14.988,9.12,0.092,0.052718992,0
1.475,3755374.789,34922.01601,6.31136,0.001,1.298,13.856,8.85,0.264,0.009299209,0
0.273,3018699.473,0,7.2545,0.001,1.639,13.96,8.9,0.254,0,0
0.335,2715837.363,12611.81428,7.493,0.002,2.641,14.818,9.03,0.092,0.004643803,0
0.332,4789206.09,82065.86022,6.697,0.001,1.998,15.154,9.21,0.287,0.017135588,0
1.54,2320549.018,39846.54935,6.201,0.003,2.067,14.516,10.3,0.143,0.017171173,0
1.85,20613225.22,298714.4114,6.24,0.003,1.956,15.754,NA,0.425,0.014491396,0
0.325,3152660.699,106591.7949,8.613,0.007,1.479,6.53,8.85,0.244,0.033810107,0
0.067,3032639.13,0,6.189422874,0.005,1.665,15.787,9.05,0.38,0,0
0.38,12549173.94,0,3.666,0.005,1.785,16.375,NA,0.244,0,0
0.09,2727724.352,70076.18666,6.421,0.002,1.79,15.659,NA,0.31,0.025690348,0
0.515,7580440.275,0,4.78,0.008,1.587,15.673,9.34,0.339,0,0
0.612,6663947.629,13702.68812,4.86,0.003,1.454,15.889,NA,0.135,0.002056242,0
0.055,5719824.742,0,4.954,0.001,1.007,28.418,8.78,0.009,0,0
0.085,12942769.53,0,4.033,0,0.809,28.083,8.52,0.093,0,0
0,3966027.131,0,3.243,0.003,1.033,28.481,8.62,0.075,0,0
0.05,4036826.25,0,3.4544,0.001,0.789,27.782,8.65,0.164,0,0
0.045,2154408.383,0,4.19142,0.002,1.31,26.659,8.93,0.217,0,0
0.19,6356967.302,50761.89404,4.336,0.002,1.157,26.798,8.79,0.04,0.007985238,0
0,3007047.499,0,3.908,0.001,0.901,26.689,9.1,0.362,0,0
0.365,6931184.252,0,3.833,0.001,0.989,26.912,9.17,0.284,0,0
0.957,4457281.029,0,3.738,0.003,1.01,26.868,9.45,0.25,0,0
0.093,5890382.318,0,3.801,0.004,0.972,7.034,8.85,0.181,0,0
0,5715651.566,0,3.664880262,0.003,0.957,27.782,8.97,0.259,0,0
0.205,3350609.421,0,5.873,0.007,1.1,27.322,8.78,0.263,0,0
0,6832828.689,0,6.592,0.001,0.848,31.002,8.5,0.012,0,0
0.262,9378112.42,0,5.752,0,0.898,29.573,8.39,0.065,0,0
0,22865930.22,0,5.382,0.004,0.976,31.023,8.41,0.079,0,0
0.032,6257700.61,8806.720745,4.828,0.004,0.994,31.104,8.47,0.387,0.001407341,0
0.047,5525485.627,0,10.87238,0.004,1.173,30.161,8.59,0.221,0,0
0.202,5164839.425,32821.88423,6.241,0.003,0.907,31.573,8.58,0.054,0.00635487,0
0.477,28304199.8,0,5.3,0,1.091,32.178,8.39,0.163,0,0
0.567,7967744.502,14749.51497,5.347,0.004,1.271,30.477,8.49,0.213,0.001851153,0
0.972,27631049.42,60835.9632,4.97,0.006,1.858,31.487,NA,0.232,0.002201725,0
0.298,4574543.942,89927.19434,4.742,0.003,1.231,23.382,8.84,0.325,0.019658177,0
0.023,15896326.59,22257.71679,5.006225411,0.005,1.44,33.271,NA,0.275,0.00140018,0
0.525,4231320.142,0,7.583,0.008,1.728,32.231,8.64,0.171,0,0
0.205,4359306.574,202746.5916,4.606,0.006,1.486,34.327,8.84,0.151,0.046508909,0
0.725,2039240.889,0,3.897,0.01,1.829,31.961,8.85,0.338,0,0
0.75,2094033.81,0,3.638,0.007,1.738,33.873,8.73,0.13,0,0
0.275,3932434.073,68226.48086,8.811,0.003,1.005,6.526,8.54,0.049,0.017349682,1
17.07,22753659.21,2093584.205,8.79,0.028,1.51,6.622,8.21,0.202,0.09201088,1
17.67,6906722.174,1238845.724,8.946,0.039,2.012,6.759,8.46,0.266,0.179368113,0
5.483,2788860.43,229947.0065,9.62336,0.004,2.067,6.714,9.35,0.21,0.082451959,0
5.385,2036400.378,38822.70159,10.7147,0.008,2.016,6.261,9.4,0.227,0.019064376,0
1.178,4798355.105,437726.0989,11.73,0.005,2.369,6.979,9.6,0.17,0.091224199,0
5.313,2247625.911,95780.8056,9.318,0.006,2.031,6.854,8.63,0.308,0.042614211,1
12.01,7466137.468,1884684.264,9.444,0.005,1.773,7.061,9.22,0.23,0.252430962,0
1.467,2841757.936,93521.55603,8.282,0,1.532,7.023,8.39,0.311,0.032909755,0
0.702,11800246.07,60187.78559,8.209,0.005,1.679,12.063,8.67,0.286,0.005100553,0
0.308,3928888.597,0,6.233,0.002,1.212,6.883,9.03,0.499,0,0
3.68,6419701.182,0,7.809,0.004,2.918,7.238,7.98,0.371,0,0
1.585,4302222.418,0,7.557,0.001,1.932,6.871,8.94,0.48,0,0
1.398,9114513.548,0,5.828,0.006,1.904,6.707,8.65,0.191,0,0
1.08,6040852.684,0,5.86,0.007,1.551,7.017,10.61,0.198,0,0
0.115,4347475.735,0,7.683,0,0.713,4.279,8.22,0,0,0
0.123,4900479.699,0,8.307,0.001,0.999,4.04,8.9,0.052,0,0
1.413,3171578.947,0,7.918,0.002,1.1,3.764,8.98,0.076,0,0
0.07,2636231.38,0,7.99616,0.001,1.388,3.601,9.23,0.158,0,0
0.093,1646448.937,0,8.47068,0,1.313,4.243,8.87,0.181,0,0
0.205,2333291.809,0,8.816,0.002,0.907,3.908,8.43,0.29,0,0
0.295,5630175.005,0,7.645,0,0.763,3.914,8.55,0.165,0,0
0.423,1517811.031,6753.577506,7.384,0.002,1.177,3.606,8.77,0.219,0.004449551,0
0.507,6149215.268,60951.01411,7.04,0.001,0.685,4.143,8.37,0.152,0.009911999,0
0.157,2966560.838,0,7.236,0.005,0.773,4.098,8.64,0.113,0,0
0.455,1075471.661,49421.26892,7.1291627,0.002,0.693,3.955,8.89,0.199,0.045953111,0
0.468,3659173.79,0,8.057,0.003,1.104,4.241,8.93,0.117,0,0
0.298,1627940.725,0,7.112,0.003,0.848,4.77,8.83,0.138,0,0
0.465,4939572.172,0,6.55828,0.002,0.955,3.808,8.96,0.171,0,0
0.688,931784.338,0,5.934,0,0.81,5.383,NA,0.075,0,0
0.085,6549423.616,77735.70141,7.169,0,0.789,13.237,8.4,0.054,0.01186909,0
0,26863608.07,0,6.421,0,0.781,12.207,8.2,0.09,0,0
