microcystin,x16s,mcy_a_m,doc_ppm,ortho_p_mg_p_l,tkn_mg_n_l,cl_mg_cl_l,p_h,tp,mcya_16s,HAB_next_week
0.127,2073522.188,0,6.593,0.006,0.168,24.334,8.18,0.329,0,0
0,723386.7705,22038.15182,6.218,0.109,0.184,22.42,8.2,0.087,0.03046524,0
0.018,3615674.348,0,7.281,0.035,0.541,22.319,8.25,0.117,0,0
1.32,1936671.831,0,6.555,0.057,0.428,22.118,8.07,0.014,0,0
0.17,14985396.59,0,6.783,0.035,0.811,22.309,8.15,0.247,0,0
0,4876625.973,0,6.448,0.15,0.705,22.677,8.1,0.249,0,0
0.292,1023256.874,0,6.092,0.002,0.67,22.775,8.33,-0.02,0,0
0.023,1744690.442,0,5.852,0,0.766,22.602,8.5,0.055,0,0
0.155,1564615.477,0,2.524,0.011,0.602,25.998,8.5,-0.487,0,0
0.172,9101909.178,0,5.054,0.047,0.358,33.779,8.41,1.402,0,0
0.027,2483529.935,0,6.648,0.013,0.471,31.9,8.31,-0.006,0,0
0.54,722149.1378,21306.62048,6.127,0.0129,0.833,32.786,8.6,0.1279,0.02950446,0
0.725,4422520.553,55308.59787,6.325,0.02,0.572,33.05,8.43,-0.026,0.012506126,0
0.63,9942842.741,0,5.707,0.06,1.784,34.188,8.29,0.263,0,0
0.38,2339893.633,64632.71898,6.046,0.05,1.64,34.587,8.21,0.163,0.027622076,0
0.468,2694522.674,106760.4879,6.814,0.003,1.229,35.204,8.37,0.026,0.039621299,0
0.415,608654.9359,0,7.687,0,0.909,37.068,8.1,-0.001,0,0
0.375,3517464.816,0,4.124,0.043,1.452,42.744,8.1,-0.406,0,0
33.66,6223711.446,8216988.932,18.45,0.006,0.899,6.334,9.58,1.342,1.320271514,1
45.79,1788553.409,3238527.447,12.68,0.164,1.782,6.667,10.23,0.339,1.810696528,1
37.255,13111777.82,4461288.291,9.089,0.035,2.159,6.751,10.25,0.239,0.340250449,1
40.94,22748380.4,2926784.599,11.25,0.143,2.054,6.776,9.91,0.311,0.128659032,1
36.56,63467849.9,11424445.81,18.08,0.192,4.714,6.918,9.71,1.163,0.180003668,1
18.365,8763041.551,6751585.742,9.269,2.63,4.668,7.123,10.01,3.415,0.770461455,1
34.83,11657474.96,6128916.709,13.26,0.159,3.281,7.376,9.44,0.768,0.525749936,1
10.155,1174892.617,46615.02393,7.275,0.241,1.515,5.929,9.26,0.543,0.039675987,1
20.353,7019925.839,4916230.913,2.815,0.251,2.306,8.792,9.26,0.297,0.700325192,1
0,1499818.698,0,6.779,0.008,0.178,22.642,8.39,0.084,0,0
0,917475.7604,37935.3641,6.036,0.073,0.21,22.762,8.19,0.08,0.041347538,0
0.125,941692.9891,0,7.219,0.042,0.877,22.603,8.17,0.102,0,0
0.913,2398534.097,0,6.708,0.019,0.296,23.215,8.25,-0.053,0,0
0.16,9795483.947,53655.84856,7.12,0.005,0.45,21.797,8.45,0.133,0.005477611,0
0.14,2325975.13,108911.6041,7.197,-0.01,0.825,22.832,8.1,0.032,0.046824062,0
0.488,2264121.553,47170.8958,7.664,-0.007,0.792,23.053,8.33,0.053,0.020834083,0
0.262,681809.3239,0,4.935,0.008,0.574,22.893,8.2,-0.032,0,0
0.1,2149471.032,56715.10669,5.606,0.046,0.622,25.746,8.2,-0.483,0.026385611,0
0.16,811455.7087,0,8.158,0.043,0.261,7.818,7.9,0.527,0,0
0.255,0,17036.00553,8.178,0.07,0.316,6.703,8.2,0.111,0,0
0.975,4805972.502,173736.0409,8.016,0.002,1.054,6.435,8.91,0.14,0.036150028,0
3.057,7452652.187,322720.0654,9.572,0.009,1.128,6.793,8.4,0.128,0.043302714,0
0.097,17648108.27,404579.9107,8.554,0.069,1.877,6.868,8.4,0.435,0.022924832,0
3.015,4999762.464,1040094.18,8.004,0.06,2.794,6.54,8.93,0.415,0.208028719,1
40.295,8406035.236,1394999.969,3.493,0.009,6.287,7.357,9.33,0.522,0.165952191,0
1.695,1790990.531,0,4.587,0.004,1.983,5.873,8.61,0.082,0,0
0.47,1662879.641,87511.66878,5.924,0.055,1.15,8.672,8.61,-0.353,0.05262658,0
0,1018569.772,0,9.861,0.003,0.265,1.9,7.42,0.135,0,0
0,762693.3286,0,8.742,0.398,0.177,1.515,7.71,0.366,0,0
0.222,2110804.693,0,9.173,0.139,0.462,0.997,7.92,0.208,0,0
1.725,7530931.608,0,9.05,0.033,0.39,1.091,7.84,-0.002,0,0
0.512,5717448.757,14355.19991,9.308,0.087,0.626,5.547,8.17,0.356,0.00251077,0
0,2550516.799,0,22.75,-0.07,0.676,1.679,8.34,0.075,0,0
0.28,1373742.44,0,9.229,0.285,0.619,1.316,8.22,0.292,0,0
0,388493.2976,0,4.675,0.004,0.445,1.146,7.86,-0.002,0,0
0.038,1305805.47,0,4.457,-0.001,2.417,2.315,7.86,0.06,0,0
0.387,2290984.535,0,7.485,0.008,0.281,9.992,8.8,0.268,0,0
0,484965.1968,0,7.116,0.03,0.432,9.903,9,0.021,0,0
0.082,4991457.054,0,8.059,0.23,1.097,10.219,9.11,0.277,0,0
0.96,9551706.186,0,8.322,0.024,0.834,10.701,8.86,0.028,0,0
0.275,20486978.8,0,18.82,-0.003,1.433,9.791,8.03,0.276,0,0
0.018,7738263.533,0,7.741,0.27,1.27,10.378,8.48,0.449,0,0
0.243,2342146.832,0,7.918,-0.007,1.133,10.417,8.97,0.09,0,0
0,535617.5593,0,3.157,0.017,1.115,9.803,8.49,0.084,0,0
0.183,2336106.114,0,5.765,0.015,1.117,11.53,8.49,-0.448,0,0
0.447,3827655.485,0,6.141,0.021,0.152,7.268,8.66,0.11,0,0
0.135,552656.9926,16175.02142,6.383,0.014,0.28,7.67,9.08,0.008,0.02926774,0
0.365,8079198.685,0,6.569,0.084,0.618,8.749,8.37,0.202,0,0
1.503,5833993.426,38794.11311,7.18,0.006,0.791,7.414,8.41,-0.016,0.006649667,0
0.248,23363598.93,222373.2139,4.798,0.015,1.685,7.394,8.41,0.27,0.009517935,0
0.285,4443116.5,103836.3466,21.69,0.25,1.468,7.424,9.81,0.416,0.023370161,0
0.78,868291.5525,27450.57455,7.773,0.002,1.406,7.713,8.06,0.024,0.031614467,0
0.817,303661.0707,0,6.803,0.007,1.496,7.168,7.94,0.026,0,0
2.013,4105585.995,110350.4005,6.813,0.027,1.189,9.448,7.94,-0.408,0.026878112,0
11.798,6366303.554,2688795.645,13.03,0.056,1.903,9.484,8.71,0.719,0.422348011,1
11.417,1428371.711,1122138.841,8.753,0.147,1.129,9.861,9.15,0.316,0.785607018,1
22.955,9172257.304,3530581.305,9.463,0.216,2.142,9.645,9.28,0.4,0.384919566,1
22.03,27376841.35,4174093.863,10.62,0.05,1.516,10.373,10.21,0.11,0.152468059,1
30.3,40747297.77,5248329.308,9.743,0.129,2.43,10.132,9.71,0.672,0.128801898,1
27.495,27050059.22,1493096.835,15.29,0.39,8.53,14.796,9.31,3.045,0.055197544,1
9.47,3188580.525,573818.5066,11.08,0.126,2.632,11.063,9.44,0.711,0.179960488,0
2.622,746376.8195,0,4.635,0.208,1.42,9.703,9.19,0.555,0,1
9.532,2310576.486,865106.2109,3.027,0.353,2.65,12.231,9.19,0.055,0.374411415,1
4.203,1741722.53,144152.1821,15.31,0.006,2.594,15.686,9.42,0.282,0.082764148,0
0.603,0,65145.07751,7.713,0.086,0.508,9.345,8.81,0.102,0,0
2.277,2559803.42,120798.047,9.243,0.022,1.401,9.625,9.46,0.049,0.047190361,0
2.245,1766479.283,99761.60541,9.102,0.036,1.679,9.357,9.09,0.112,0.056474823,0
4.485,12125662.87,390548.1008,10.43,0.01,4.193,10.002,10.03,0.59,0.032208392,0
6.753,3376381.704,1212418.164,10.29,0.04,6.365,9.647,9.01,0.641,0.359088003,1
12.065,1079676.443,313921.848,8.887,0.5,2.266,9.674,9.44,0.731,0.290755485,0
2.133,1090910.727,0,3.158,0.011,2.864,9.4,9.02,0.274,0,1
49.4,5513531.938,858050.2203,4.396,0.019,24.91,13.332,9.02,2.348,0.155626236,1
1.712,22120411.78,943322.6052,5.395,0.002,0.193,21.727,8.4,0.054,0.042644894,0
0,2220544.554,282193.6996,8.178,0.003,0.464,11.403,8.71,-0.025,0.127083106,0
0.535,345668.695,77804.78887,5.528,0.006,0.637,22.718,8.94,0.066,0.225084857,0
0.665,3440663.412,44855.59231,5.548,0.03,0.642,21.718,8.92,0.012,0.013036902,0
0.343,6616304.192,53322.61549,5.336,0.137,2.892,23.764,9.13,0.381,0.008059275,0
0.125,2804657.545,0,5.842,0,2.336,23.429,9.21,0.189,0,0
0.602,4408112.436,0,6.687,0.032,1.298,22.803,9.26,0.076,0,0
0,222400.7871,0,5.011,0.033,1.078,22.675,8.71,0.138,0,0
0.105,3042946.795,0,4.004,0.011,1.1,25.86,8.71,-0.456,0,0
0.21,4652153.546,0,6.299,0.004,0.234,26.891,8.48,0.195,0,0
0,5926430.516,0,7.002,0.003,0.374,27.73,8.32,-0.007,0,0
0.132,984813.0659,0,6.146,0.0058,0.631,28.523,8.3,-0.0022,0,0
0.65,857483.8611,0,5.984,0.017,0.643,28.088,8.1,-0.017,0,0
0.038,8732810.424,0,7.333,0.416,1.876,29.301,8.51,0.661,0,0
