file,sample,subSample,speed_mph,disk_in,closeDisk,basket,scanStart,roughness,resPercent,resPercentFull
T4P1_2_20191015_112106,1,2,6.6,5,-6,1,2090,49.8659010324774,6.81740775780511,11.7757427757428
T4P1_2_20191015_112106,1,3,6.6,5,-6,1,3179,51.5635396321567,5.57615894039735,14.4647944647945
T4P1_2_20191015_112106,1,4,6.6,5,-6,1,4268,55.456726787585,7.18732261116367,18.010582010582
T4P1_2_20191015_112106,1,5,6.6,5,-6,1,5357,55.5739556137397,6.52034058656575,17.6516076516077
T4P1_2_20191015_112106,1,6,6.6,5,-6,1,6446,51.5797314448429,3.4957426679281,8.42735042735043
T4P1_2_20191015_112106,1,7,6.6,5,-6,1,7535,56.3130400591792,4.58751182592242,8.96825396825397
T4P1_2_20191015_112106,1,8,6.6,5,-6,1,8624,54.9259235860644,2.9678334910123,5.31461131461131
T4P1_20191015_103732,1,1,6.6,5,-6,1,1001,49.6594488158104,5.26490066225166,15.5616605616606
T4P1_20191015_103732,1,2,6.6,5,-6,1,2003,49.9819318387537,9.27436140018921,21.1351241351241
T4P1_20191015_103732,1,3,6.6,5,-6,1,3005,46.1453165814176,9.83159886471145,23.3394383394383
T4P1_20191015_103732,1,4,6.6,5,-6,1,4007,49.774350406159,8.15704824976348,18.6947496947497
T4P1_20191015_103732,1,5,6.6,5,-6,1,5009,45.5431658598034,10.8703878902554,22.4835164835165
T4P1_20191015_103732,1,6,6.6,5,-6,1,6011,43.9835158721062,11.1835383159886,24.050875050875
T4P1_20191015_103732,1,7,6.6,5,-6,1,7013,45.9364995208743,6.9356669820246,19.4542124542125
T4P1_20191015_103732,1,8,6.6,5,-6,1,8015,52.8693830802213,6.5515610217597,21.4668294668295
T3P1_2_20191015_111751,1,1,3,5,-6,1,1001,42.1863015985358,10.0444654683065,13.5364265364265
T3P1_2_20191015_111751,1,2,3,5,-6,1,1949,40.6545594775927,7.45884578997162,13.7069597069597
T3P1_2_20191015_111751,1,3,3,5,-6,1,2897,42.3811286830631,18.9725638599811,36.015873015873
T3P1_2_20191015_111751,1,4,3,5,-6,1,3845,51.1258408210075,12.5648060548723,23.4814814814815
T3P1_2_20191015_111751,1,5,3,5,-6,1,4793,46.9766549062725,13.7019867549669,22.5124135124135
T3P1_2_20191015_111751,1,6,3,5,-6,1,5741,48.2312890701428,13.9801324503311,20.8449328449328
T3P1_2_20191015_111751,1,7,3,5,-6,1,6689,48.0032735800108,13.2280037842952,21.7737077737078
T3P1_2_20191015_111751,1,8,3,5,-6,1,7637,47.3272226360278,14.6773888363292,23.2535612535613
T3P1_20191015_103245,1,1,3,5,-6,1,1001,44.1585605725065,14.3008514664144,26.7338217338217
T3P1_20191015_103245,1,2,3,5,-6,1,2304,50.2180101420233,7.96594134342479,17.999185999186
T3P1_20191015_103245,1,3,3,5,-6,1,3607,52.8183533827596,3.60832544938505,13.4155474155474
T3P1_20191015_103245,1,4,3,5,-6,1,4910,46.7026764129547,9.71807000946074,19.2051282051282
T3P1_20191015_103245,1,5,3,5,-6,1,6213,46.5526576723457,13.4711447492904,25.4916564916565
T3P1_20191015_103245,1,6,3,5,-6,1,7516,44.8937136312985,12.0766319772942,26.9096459096459
T3P1_20191015_103245,1,7,3,5,-6,1,8819,43.4584610274521,13.565752128666,26.7773707773708
T3P1_20191015_103245,1,8,3,5,-6,1,10122,42.1894535578482,17.8420056764428,32.2238502238502
T5P1_20191017_100954,1,1,3,1,-6,1,1001,46.3561986605818,35.085146641438,42.3019943019943
T5P1_20191017_100954,1,2,3,1,-6,1,1820,45.0340368592947,34.6868495742668,43.3862433862434
T5P1_20191017_100954,1,3,3,1,-6,1,2639,43.1742346253609,35.1712393566698,48.3300773300773
T5P1_20191017_100954,1,4,3,1,-6,1,3458,42.6684226061383,39.8344370860927,49.7122507122507
T5P1_20191017_100954,1,5,3,1,-6,1,4277,40.5073069924126,36.5042573320719,46.1135531135531
T5P1_20191017_100954,1,6,3,1,-6,1,5096,41.7690818416679,33.3282876064333,44.0923890923891
T5P1_20191017_100954,1,7,3,1,-6,1,5915,42.7205213039194,35.7502365184484,44.9352869352869
T5P1_20191017_100954,1,8,3,1,-6,1,6734,43.337889299238,36.7928098391675,42.9592999593
T16P1_2_20191017_101449,1,1,6.6,1,-6,1,1001,45.4029714773217,19.7483443708609,28.6190476190476
T16P1_2_20191017_101449,1,2,6.6,1,-6,1,2442,40.794091704331,14.6158940397351,23.2576312576313
T16P1_2_20191017_101449,1,3,6.6,1,-6,1,3883,43.658106130754,13.7568590350047,22.3813593813594
T16P1_2_20191017_101449,1,4,6.6,1,-6,1,5324,43.9483172012736,10.6830652790918,19.2173382173382
T16P1_2_20191017_101449,1,5,6.6,1,-6,1,6765,54.1568154730737,9.54493850520341,16.1640211640212
T16P1_2_20191017_101449,1,6,6.6,1,-6,1,8206,62.0510898144972,11.2516556291391,17.4065934065934
T16P1_2_20191017_101449,1,7,6.6,1,-6,1,9647,61.5390646429062,14.3159886471145,19.8860398860399
T16P1_2_20191017_101449,1,8,6.6,1,-6,1,11088,60.9394161552171,12.9640491958373,20.4949124949125
T7P1_20191015_105658,1,1,6.6,3,2,1,1001,42.8716618027322,8.60075685903501,25.9340659340659
T7P1_20191015_105658,1,2,6.6,3,2,1,1912,44.1419454172413,6.4872280037843,20.8441188441188
T7P1_20191015_105658,1,3,6.6,3,2,1,2823,46.0133098083399,8.87228003784295,22.7590557590558
T7P1_20191015_105658,1,4,6.6,3,2,1,3734,45.5966578924683,9.88079470198675,25.3764753764754
T7P1_20191015_105658,1,5,6.6,3,2,1,4645,45.011434116778,8.17218543046358,21.8213268213268
T7P1_20191015_105658,1,6,6.6,3,2,1,5556,43.1237344438996,9.65089877010407,24.9145299145299
T7P1_20191015_105658,1,7,6.6,3,2,1,6467,43.6003412737816,9.63008514664144,27.5010175010175
T7P1_20191015_105658,1,8,6.6,3,2,1,7378,45.2697656112365,13.8940397350993,33.0496540496541
T8P1_20191015_105323,1,1,3,3,2,1,1001,44.5193238171896,11.5648060548723,26.8905168905169
T8P1_20191015_105323,1,2,3,3,2,1,1938,49.8666667993644,9.22611163670766,22.6023606023606
T8P1_20191015_105323,1,3,3,3,2,1,2875,49.1670442119506,3.72942289498581,16.4216524216524
T8P1_20191015_105323,1,4,3,3,2,1,3812,47.7482844445661,6.12582781456954,17.6617826617827
T8P1_20191015_105323,1,5,3,3,2,1,4749,43.7897883425773,15.0160832544939,28.8160358160358
T8P1_20191015_105323,1,6,3,3,2,1,5686,41.5066809344763,15.1911069063387,31.7431827431827
T8P1_20191015_105323,1,7,3,3,2,1,6623,40.0925548238884,19.5960264900662,39.6642246642247
T8P1_20191015_105323,1,8,3,3,2,1,7560,39.3657391753771,25.8959318826868,46.2307692307692
T9P1_20191015_112546,1,1,3,5,2,1,1001,48.6693632335826,5.34815515610218,10.7895807895808
T9P1_20191015_112546,1,2,3,5,2,1,1880,50.373540262357,4.06906338694418,10.3402523402523
T9P1_20191015_112546,1,3,3,5,2,1,2759,52.5164906738654,3.40681173131504,8.91534391534391
T9P1_20191015_112546,1,4,3,5,2,1,3638,52.4097852476126,3.10501419110691,7.71225071225071
T9P1_20191015_112546,1,5,3,5,2,1,4517,52.4603600808687,3.08703878902554,9.48555148555149
T9P1_20191015_112546,1,6,3,5,2,1,5396,47.5123599244496,5.20908230842006,11.6414326414326
T9P1_20191015_112546,1,7,3,5,2,1,6275,40.9046834265374,6.2639545884579,15.7586487586488
T9P1_20191015_112546,1,8,3,5,2,1,7154,39.2152644122651,6.4872280037843,17.5185185185185
T10P1_20191015_112903,1,1,6.6,5,2,1,1001,49.0396280628188,3.37748344370861,13.8827838827839
T10P1_20191015_112903,1,2,6.6,5,2,1,2018,50.5989132988552,3.23746452223273,14.1961741961742
T10P1_20191015_112903,1,3,6.6,5,2,1,3035,50.6582349426069,3.36518448438978,9.85632885632886
T10P1_20191015_112903,1,4,6.6,5,2,1,4052,49.0325531445396,5.28949858088931,15.1652421652422
T10P1_20191015_112903,1,5,6.6,5,2,1,5069,50.6981662012696,3.27719962157048,11.4224664224664
T10P1_20191015_112903,1,6,6.6,5,2,1,6086,46.9666567748869,4.58751182592242,12.976393976394
T10P1_20191015_112903,1,7,6.6,5,2,1,7103,46.5320023900523,4.6802270577105,16.3622303622304
T10P1_20191015_112903,1,8,6.6,5,2,1,8120,46.8848304460393,5.66035950804163,18.9422059422059
T11P1_20191017_102419,1,1,6.6,1,2,1,1001,46.0737197086935,8.51561021759697,26.9474969474969
T11P1_20191017_102419,1,2,6.6,1,2,1,2953,46.5370554124541,10.5903500473037,26.7614977614978
T11P1_20191017_102419,1,3,6.6,1,2,1,4905,43.8468708958584,9.04446546830653,28.3052503052503
T11P1_20191017_102419,1,4,6.6,1,2,1,6857,44.1312406441433,9.58183538315989,29.95115995116
T11P1_20191017_102419,1,5,6.6,1,2,1,8809,41.4506221999961,8.29233680227058,26.0732600732601
T11P1_20191017_102419,1,6,6.6,1,2,1,10761,46.8302128583308,9.94134342478713,30.5490435490435
T11P1_20191017_102419,1,7,6.6,1,2,1,12713,49.3070204532521,10.8552507095553,28.030525030525
T11P1_20191017_102419,1,8,6.6,1,2,1,14665,43.0606099177201,9.53831598864712,28.1986161986162
T16P1_20191017_102017,1,1,3,1,2,1,1001,54.2669297356178,20.6669820245979,38.6332926332926
T16P1_20191017_102017,1,2,3,1,2,1,2116,52.3116558324795,28.8013245033113,42.009768009768
T16P1_20191017_102017,1,3,3,1,2,1,3231,56.5055643343586,14.7928098391675,30.9361009361009
